"Plot Title: 20078577-in lab"
"#","Date","Time, GMT-06:00","DO conc, mg/L (LGR S/N: 20078577, SEN S/N: 20078577)","Temp, °C (LGR S/N: 20078577, SEN S/N: 20078577)","Coupler Attached (LGR S/N: 20078577)","Host Connected (LGR S/N: 20078577)","Stopped (LGR S/N: 20078577)","End Of File (LGR S/N: 20078577)"
120,05/11/22,01:55:00  AM,9.99,15.26,,,,
121,05/11/22,02:00:00  AM,9.99,15.28,,,,
122,05/11/22,02:05:00  AM,10.00,15.30,,,,
123,05/11/22,02:10:00  AM,9.97,15.30,,,,
124,05/11/22,02:15:00  AM,9.98,15.32,,,,
125,05/11/22,02:20:00  AM,9.98,15.34,,,,
126,05/11/22,02:25:00  AM,9.98,15.36,,,,
127,05/11/22,02:30:00  AM,9.96,15.36,,,,
128,05/11/22,02:35:00  AM,9.97,15.38,,,,
129,05/11/22,02:40:00  AM,9.97,15.40,,,,
130,05/11/22,02:45:00  AM,9.97,15.40,,,,
131,05/11/22,02:50:00  AM,9.95,15.42,,,,
132,05/11/22,02:55:00  AM,9.95,15.44,,,,
133,05/11/22,03:00:00  AM,9.96,15.46,,,,
134,05/11/22,03:05:00  AM,9.94,15.46,,,,
135,05/11/22,03:10:00  AM,9.94,15.48,,,,
136,05/11/22,03:15:00  AM,9.94,15.48,,,,
137,05/11/22,03:20:00  AM,9.94,15.50,,,,
138,05/11/22,03:25:00  AM,9.94,15.52,,,,
139,05/11/22,03:30:00  AM,9.93,15.52,,,,
140,05/11/22,03:35:00  AM,9.94,15.54,,,,
141,05/11/22,03:40:00  AM,9.93,15.56,,,,
142,05/11/22,03:45:00  AM,9.93,15.56,,,,
143,05/11/22,03:50:00  AM,9.93,15.58,,,,
144,05/11/22,03:55:00  AM,9.93,15.58,,,,
145,05/11/22,04:00:00  AM,9.91,15.60,,,,
146,05/11/22,04:05:00  AM,9.94,15.62,,,,
147,05/11/22,04:10:00  AM,9.91,15.62,,,,
148,05/11/22,04:15:00  AM,9.91,15.64,,,,
149,05/11/22,04:20:00  AM,9.91,15.66,,,,
150,05/11/22,04:25:00  AM,9.92,15.66,,,,
151,05/11/22,04:30:00  AM,9.92,15.68,,,,
152,05/11/22,04:35:00  AM,9.91,15.68,,,,
153,05/11/22,04:40:00  AM,9.89,15.70,,,,
154,05/11/22,04:45:00  AM,9.89,15.70,,,,
155,05/11/22,04:50:00  AM,9.88,15.72,,,,
156,05/11/22,04:55:00  AM,9.89,15.72,,,,
157,05/11/22,05:00:00  AM,9.89,15.74,,,,
158,05/11/22,05:05:00  AM,9.89,15.74,,,,
159,05/11/22,05:10:00  AM,9.89,15.76,,,,
160,05/11/22,05:15:00  AM,9.89,15.76,,,,
161,05/11/22,05:20:00  AM,9.88,15.78,,,,
162,05/11/22,05:25:00  AM,9.88,15.78,,,,
163,05/11/22,05:30:00  AM,9.88,15.80,,,,
164,05/11/22,05:35:00  AM,9.87,15.80,,,,
165,05/11/22,05:40:00  AM,9.87,15.82,,,,
166,05/11/22,05:45:00  AM,9.88,15.82,,,,
167,05/11/22,05:50:00  AM,9.86,15.84,,,,
168,05/11/22,05:55:00  AM,9.88,15.84,,,,
169,05/11/22,06:00:00  AM,9.87,15.84,,,,
170,05/11/22,06:05:00  AM,9.86,15.86,,,,
171,05/11/22,06:10:00  AM,9.87,15.86,,,,
172,05/11/22,06:15:00  AM,9.86,15.86,,,,
173,05/11/22,06:20:00  AM,9.86,15.88,,,,
174,05/11/22,06:25:00  AM,9.86,15.88,,,,
175,05/11/22,06:30:00  AM,9.86,15.90,,,,
176,05/11/22,06:35:00  AM,9.86,15.90,,,,
177,05/11/22,06:40:00  AM,9.86,15.92,,,,
178,05/11/22,06:45:00  AM,9.84,15.92,,,,
179,05/11/22,06:50:00  AM,9.84,15.92,,,,
180,05/11/22,06:55:00  AM,9.86,15.94,,,,
181,05/11/22,07:00:00  AM,9.84,15.94,,,,
182,05/11/22,07:05:00  AM,9.84,15.94,,,,
183,05/11/22,07:10:00  AM,9.85,15.96,,,,
184,05/11/22,07:15:00  AM,9.85,15.96,,,,
185,05/11/22,07:20:00  AM,9.84,15.98,,,,
186,05/11/22,07:25:00  AM,9.83,15.98,,,,
187,05/11/22,07:30:00  AM,9.84,15.98,,,,
188,05/11/22,07:35:00  AM,9.82,15.98,,,,
189,05/11/22,07:40:00  AM,9.83,15.98,,,,
190,05/11/22,07:45:00  AM,9.80,16.00,,,,
191,05/11/22,07:50:00  AM,9.80,16.00,,,,
192,05/11/22,07:55:00  AM,9.80,16.02,,,,
193,05/11/22,08:00:00  AM,9.80,16.02,,,,
194,05/11/22,08:05:00  AM,9.80,16.02,,,,
195,05/11/22,08:10:00  AM,9.79,16.04,,,,
196,05/11/22,08:15:00  AM,9.77,16.04,,,,
197,05/11/22,08:20:00  AM,9.78,16.06,,,,
198,05/11/22,08:25:00  AM,9.78,16.06,,,,
199,05/11/22,08:30:00  AM,9.78,16.08,,,,
200,05/11/22,08:35:00  AM,9.78,16.08,,,,
201,05/11/22,08:40:00  AM,9.78,16.10,,,,
202,05/11/22,08:45:00  AM,9.77,16.10,,,,
203,05/11/22,08:50:00  AM,9.75,16.12,,,,
204,05/11/22,08:55:00  AM,9.77,16.12,,,,
205,05/11/22,09:00:00  AM,9.78,16.14,,,,
206,05/11/22,09:05:00  AM,9.78,16.14,,,,
207,05/11/22,09:10:00  AM,9.80,16.14,,,,
208,05/11/22,09:15:00  AM,9.77,16.16,,,,
209,05/11/22,09:20:00  AM,9.77,16.16,,,,
210,05/11/22,09:25:00  AM,9.77,16.16,,,,
211,05/11/22,09:30:00  AM,9.75,16.18,,,,
212,05/11/22,09:35:00  AM,9.75,16.18,,,,
213,05/11/22,09:40:00  AM,9.75,16.20,,,,
214,05/11/22,09:45:00  AM,9.77,16.20,,,,
215,05/11/22,09:50:00  AM,9.75,16.22,,,,
216,05/11/22,09:55:00  AM,9.75,16.22,,,,
217,05/11/22,10:00:00  AM,9.74,16.22,,,,
218,05/11/22,10:05:00  AM,9.74,16.24,,,,
219,05/11/22,10:10:00  AM,9.74,16.24,,,,
220,05/11/22,10:15:00  AM,9.73,16.26,,,,
221,05/11/22,10:20:00  AM,9.73,16.26,,,,
222,05/11/22,10:25:00  AM,9.74,16.28,,,,
223,05/11/22,10:30:00  AM,9.74,16.28,,,,
224,05/11/22,10:35:00  AM,9.75,16.30,,,,
225,05/11/22,10:40:00  AM,9.73,16.30,,,,
226,05/11/22,10:45:00  AM,9.73,16.32,,,,
227,05/11/22,10:50:00  AM,9.72,16.32,,,,
228,05/11/22,10:55:00  AM,9.71,16.32,,,,
229,05/11/22,11:00:00  AM,9.72,16.32,,,,
230,05/11/22,11:05:00  AM,9.72,16.34,,,,
231,05/11/22,11:10:00  AM,9.71,16.36,,,,
232,05/11/22,11:15:00  AM,9.71,16.36,,,,
233,05/11/22,11:20:00  AM,9.70,16.38,,,,
234,05/11/22,11:25:00  AM,9.70,16.38,,,,
235,05/11/22,11:30:00  AM,9.70,16.40,,,,
236,05/11/22,11:35:00  AM,9.69,16.42,,,,
237,05/11/22,11:40:00  AM,9.68,16.42,,,,
238,05/11/22,11:45:00  AM,9.69,16.44,,,,
239,05/11/22,11:50:00  AM,9.71,16.44,,,,
240,05/11/22,11:55:00  AM,9.69,16.46,,,,
241,05/11/22,12:00:00  PM,9.69,16.46,,,,
242,05/11/22,12:05:00  PM,9.68,16.48,,,,
243,05/11/22,12:10:00  PM,9.68,16.48,,,,
244,05/11/22,12:15:00  PM,9.68,16.50,,,,
245,05/11/22,12:20:00  PM,9.69,16.52,,,,
246,05/11/22,12:25:00  PM,9.70,16.52,,,,
247,05/11/22,12:30:00  PM,9.68,16.52,,,,
248,05/11/22,12:35:00  PM,9.69,16.54,,,,
249,05/11/22,12:40:00  PM,9.69,16.54,,,,
250,05/11/22,12:45:00  PM,9.68,16.56,,,,
251,05/11/22,12:50:00  PM,9.67,16.56,,,,
252,05/11/22,12:55:00  PM,9.67,16.58,,,,
253,05/11/22,01:00:00  PM,9.66,16.60,,,,
254,05/11/22,01:05:00  PM,9.66,16.60,,,,
255,05/11/22,01:10:00  PM,9.65,16.62,,,,
256,05/11/22,01:15:00  PM,9.66,16.62,,,,
257,05/11/22,01:20:00  PM,9.65,16.64,,,,
258,05/11/22,01:25:00  PM,9.64,16.66,,,,
259,05/11/22,01:30:00  PM,9.65,16.66,,,,
260,05/11/22,01:35:00  PM,9.64,16.68,,,,
261,05/11/22,01:40:00  PM,9.65,16.70,,,,
262,05/11/22,01:45:00  PM,9.65,16.70,,,,
263,05/11/22,01:50:00  PM,9.64,16.72,,,,
264,05/11/22,01:55:00  PM,9.64,16.72,,,,
265,05/11/22,02:00:00  PM,9.62,16.74,,,,
266,05/11/22,02:05:00  PM,9.64,16.74,,,,
267,05/11/22,02:10:00  PM,9.62,16.76,,,,
268,05/11/22,02:15:00  PM,9.61,16.76,,,,
269,05/11/22,02:20:00  PM,9.61,16.78,,,,
270,05/11/22,02:25:00  PM,9.61,16.80,,,,
271,05/11/22,02:30:00  PM,9.62,16.80,,,,
272,05/11/22,02:35:00  PM,9.62,16.82,,,,
273,05/11/22,02:40:00  PM,9.61,16.82,,,,
274,05/11/22,02:45:00  PM,9.60,16.84,,,,
275,05/11/22,02:50:00  PM,9.61,16.84,,,,
276,05/11/22,02:55:00  PM,9.59,16.84,,,,
277,05/11/22,03:00:00  PM,9.61,16.84,,,,
278,05/11/22,03:05:00  PM,9.61,16.86,,,,
279,05/11/22,03:10:00  PM,9.60,16.86,,,,
280,05/11/22,03:15:00  PM,9.59,16.86,,,,
281,05/11/22,03:20:00  PM,9.60,16.88,,,,
282,05/11/22,03:25:00  PM,9.60,16.88,,,,
283,05/11/22,03:30:00  PM,9.58,16.90,,,,
284,05/11/22,03:35:00  PM,9.58,16.90,,,,
285,05/11/22,03:40:00  PM,9.58,16.90,,,,
286,05/11/22,03:45:00  PM,9.57,16.90,,,,
287,05/11/22,03:50:00  PM,9.58,16.90,,,,
288,05/11/22,03:55:00  PM,9.57,16.90,,,,
289,05/11/22,04:00:00  PM,9.59,16.90,,,,
290,05/11/22,04:05:00  PM,9.59,16.92,,,,
291,05/11/22,04:10:00  PM,9.59,16.92,,,,
292,05/11/22,04:15:00  PM,9.58,16.92,,,,
293,05/11/22,04:15:33  PM,,,Logged,,,
294,05/11/22,04:15:34  PM,,,,Logged,,
295,05/11/22,04:15:37  PM,,,,,Logged,Logged
